Unnamed: 0,text
4,Visit Name
5,Form Completed (de-identified)
8,"If Other Respondent, Code:"
18,2a. Does anyone who lives in the child's home or dwelling smoke any other products inside? What products? [Mark all that apply]: Pipes
19,2a. Does anyone who lives in the child's home or dwelling smoke any other products inside? What products? [Mark all that apply]: Marijuana/Hashish
20,2a. Does anyone who lives in the child's home or dwelling smoke any other products inside? What products? [Mark all that apply]: Other [Specify]
21,2a. Does anyone who lives in the child's home or dwelling smoke any other products inside? What products? [Mark all that apply]: Declined
22,2a. Does anyone who lives in the child's home or dwelling smoke any other products inside? What products? [Mark all that apply]: Don't know
24,"2a. Does anyone who lives in the child's home or dwelling smoke any other products inside? What products, Other, specify (de-identified)"
26,"2.b. If you marked more than one in 2.a, which of these products is smoked inside most often? Other, specify (de-identified)"
32,"2d. If you marked more than one in 2.a, which of these products is smoked inside second most often? Other, specify (de-identified)"
37,Setting
38,Mode
39,Version
40,What language was used to complete the survey?
41,Data capture system: REDCap Central or local
44,"1. In the past 7 days, how many times was the child usually fed in a 24-hour period? Please include breast feedings, bottles, meals, snacks, and night-time feedings."
45,"2. In the past 7 days, has the child used a pacifier?"
46,"3. In the past 2 weeks, which of the following was the child given in vitamin or mineral drops or pills at least 3 days a week? If the child was given drops or pills that contained more than one of the items listed, please mark each of the separate items. [Check all that apply]: Fluoride"
47,"3. In the past 2 weeks, which of the following was the child given in vitamin or mineral drops or pills at least 3 days a week? If the child was given drops or pills that contained more than one of the items listed, please mark each of the separate items. [Check all that apply]: Iron"
48,"3. In the past 2 weeks, which of the following was the child given in vitamin or mineral drops or pills at least 3 days a week? If the child was given drops or pills that contained more than one of the items listed, please mark each of the separate items. [Check all that apply]: Vitamin D"
49,"3. In the past 2 weeks, which of the following was the child given in vitamin or mineral drops or pills at least 3 days a week? If the child was given drops or pills that contained more than one of the items listed, please mark each of the separate items. [Check all that apply]: Multivitamins"
50,"3. In the past 2 weeks, which of the following was the child given in vitamin or mineral drops or pills at least 3 days a week? If the child was given drops or pills that contained more than one of the items listed, please mark each of the separate items. [Check all that apply]: Fish oil"
51,"3. In the past 2 weeks, which of the following was the child given in vitamin or mineral drops or pills at least 3 days a week? If the child was given drops or pills that contained more than one of the items listed, please mark each of the separate items. [Check all that apply]: DHA"
52,"3. In the past 2 weeks, which of the following was the child given in vitamin or mineral drops or pills at least 3 days a week? If the child was given drops or pills that contained more than one of the items listed, please mark each of the separate items. [Check all that apply]: EPA"
53,"3. In the past 2 weeks, which of the following was the child given in vitamin or mineral drops or pills at least 3 days a week? If the child was given drops or pills that contained more than one of the items listed, please mark each of the separate items. [Check all that apply]: Prebiotic"
54,"3. In the past 2 weeks, which of the following was the child given in vitamin or mineral drops or pills at least 3 days a week? If the child was given drops or pills that contained more than one of the items listed, please mark each of the separate items. [Check all that apply]: Probiotic"
55,"3. In the past 2 weeks, which of the following was the child given in vitamin or mineral drops or pills at least 3 days a week? If the child was given drops or pills that contained more than one of the items listed, please mark each of the separate items. [Check all that apply]: Other vitamins"
56,"3. In the past 2 weeks, which of the following was the child given in vitamin or mineral drops or pills at least 3 days a week? If the child was given drops or pills that contained more than one of the items listed, please mark each of the separate items. [Check all that apply]: None of these"
57,"3. In the past 2 weeks, which of the following was the child given in vitamin or mineral drops or pills at least 3 days a week? If the child was given drops or pills that contained more than one of the items listed, please mark each of the separate items. [Check all that apply]: Don't know"
