Unnamed: 0,text
1,Cohort Member number within an MCS family   
7,DV Cohort Member Ethnic Group merged (England)   [counts less than 30 recoded]
8,DV Cohort Member Ethnic Group (merged) (Wales)   [counts less than 30 recoded]
9,DV Cohort Member Ethnic Group (merged) (Scotland)    [counts less than 30 recoded]
10,DV Cohort Member Ethnic Group (merged) (N Ireland)   [counts less than 30 recoded]
11,DV Cohort Member Ethnic Group - 6 category Census class 
12,DV Cohort Member Ethnic Group - 11 category Census class
13,DV Cohort Member Ethnic Group - 8 category classification   
15,DV Birth of Cohort Member: Number of days early or lat  
16,DV Cohort Member Gestation time in days 
19,DV Cohort Member Ethnic Group merged (England)  
20,DV Cohort Member Ethnic Group (merged) (Wales)  
21,DV Cohort Member Ethnic Group (merged) (Scotland)   
22,DV Cohort Member Ethnic Group (merged) (N Ireland)  
26,Interview Government Office Region  
27,DV Parent Interview response summary
29,DV Summary of Parents/Carers in Household   
33,DV Natural father status
34,DV Natural father in HH 
42,DV Whether any foster siblings in household 
44,DV Whether any other adults in household
45,DV Number of people in household (not including CM) 
47,DV Combined labour market status of Main and Partner
49,"Family receiving JSA, IS, WFTC and/or DPTC  "
50,DV Total time at current address in months  
51,DV 3 digit outcome field
52,DV Fieldwork errors 
53,Dual Baby Families  
55,Point type  
61,DV OECD below 60% median poverty indicator  
64,DV McClements below 60% median poverty indicator
65,HHGrid:Check for part-time resident parent  
66,HHGrid:Natural parent died before or after birth
67,DV Housing Tenure   
72,DV Flag for imputed income  
75,DV OECD Income Weighted Quintiles (Single Country Analysis) 
76,"Person number within an MCS family (excl Cohort Members, see CNUM)  "
77,Eligibility for survey: Whether resp eligible for role of Main /(Proxy)Partner  
78,Response in survey: Whether respondent (of ELIG) participated in interview  
79,Interview Date (month)  
89,Present in Sweep 1  
91,Relationship to Cohort Member   
103,Is person currently in work or not  
104,Resident full-time of part-time 
105,HHGrid:Whether away for whole fieldwork period (person 2)   
106,HHGrid:Whether incapacitated (person 2) 
107,Person Number for Main or Partner respondent
108,Eligibility for interview (Main / (Proxy)Partner respondent role)   
109,Lonstanding illness (ICD10 code)
110,Residence away from parents pre17   
111,Residence away from parents pre 17 NI   
114,Day of hearing test 
116,Problems at birth or in first week MC1  
117,Problems at birth or in first week MC2  
118,Problems at birth or in first week MC3  
119,Problems at birth or in first week MC4  
120,Problems at birth or in first week MC5  
121,Problems at birth or in first week MC6  
122,Problems at birth or in first week MC7  
135,Whether lived apart from baby   
136,Duration of separation (unit)   
137,Duration of separation (weeks)  
138,Duration of separation (months) 
146,Complications during labour MC1 
147,Complications during labour MC2 
148,Complications during labour MC3 
149,Complications during labour MC4 
150,Complications during labour MC5 
151,Whether baby went to special care etc   
152,Was baby in special care etc in same hospital   
157,Problems at birth or in first week MC1 recoded  
158,Problems at birth or in first week MC2 recoded  
159,Problems at birth or in first week MC3 recoded  
160,Problems at birth or in first week MC4 recoded  
161,Problems at birth or in first week MC5 recoded  
162,Problems at birth or in first week MC6 recoded  
163,Problems at birth or in first week MC7 recoded  
164,Ever tried to breastfeed
179,Had any immunisations   
180,Has all immunisations   
181,Reasons not had any immunisations MC1   
182,Reasons not had any immunisations MC2   
183,Reasons not had any immunisations MC3   
184,Reasons not had all immunisations MC1   
185,Reasons not had all immunisations MC2   
186,Reasons not had all immunisations MC3   
187,Immunisations info from Red Book?   
188,Had hearing test
189,Month of hearing test   
190,Year of hearing test
193,Hearing test info from Red Book?
196,Number of accidents or injuries 
197,Type of accident/injury (first) R1 MC1  
