echo_variable_name,echo_variable_label,echo_variable_value_coded_labels,combined_labels
heshs_c_1,1. Does the child live with anyone who smokes cigarettes?,"Yes, No, Not applicable, Declined, Don't know, Missing","1. Does the child live with anyone who smokes cigarettes?: Yes, No, Not applicable, Declined, Don't know, Missing"
heshs_c_1a,1.a. Are cigarettes smoked inside the child's home or dwelling?,"Yes, No, Not applicable, Declined, Don't know, Missing","1.a. Are cigarettes smoked inside the child's home or dwelling?: Yes, No, Not applicable, Declined, Don't know, Missing"
heshs_c_1b_perday,"1b. How often, on average, are cigarettes smoked inside the child's home or dwelling? Cigarettes per day",,"1b. How often, on average, are cigarettes smoked inside the child's home or dwelling? Cigarettes per day: "
heshs_c_1b_perwk,"1b. How often, on average, are cigarettes smoked inside the child's home or dwelling? Cigarettes per week",,"1b. How often, on average, are cigarettes smoked inside the child's home or dwelling? Cigarettes per week: "
heshs_c_1b_permnth,"1b. How often, on average, are cigarettes smoked inside the child's home or dwelling? Cigarettes per month",,"1b. How often, on average, are cigarettes smoked inside the child's home or dwelling? Cigarettes per month: "
heshs_c_1b_less,"1b. How often, on average, are cigarettes smoked inside the child's home or dwelling? Less than once per month, Declined, Don't know","Less than once per month, Not applicable, Declined, Don't know, Missing","1b. How often, on average, are cigarettes smoked inside the child's home or dwelling? Less than once per month, Declined, Don't know: Less than once per month, Not applicable, Declined, Don't know, Missing"
heshs_c_2,2. Does anyone who lives in the child's home or dwelling smoke any other products inside?,"Yes, No, Not applicable, Declined, Don't know, Missing","2. Does anyone who lives in the child's home or dwelling smoke any other products inside?: Yes, No, Not applicable, Declined, Don't know, Missing"
heshs_c_2a___1,2a. Does anyone who lives in the child's home or dwelling smoke any other products inside? What products? [Mark all that apply]: E-cigarettes or Electronic Nicotine Delivery Device or Vaporizer such as JUUL,"E-cigarettes or Electronic Nicotine Delivery Device or Vaporizer such as JUUL: No, E-cigarettes or Electronic Nicotine Delivery Device or Vaporizer such as JUUL: Yes","2a. Does anyone who lives in the child's home or dwelling smoke any other products inside? What products? [Mark all that apply]: E-cigarettes or Electronic Nicotine Delivery Device or Vaporizer such as JUUL: E-cigarettes or Electronic Nicotine Delivery Device or Vaporizer such as JUUL: No, E-cigarettes or Electronic Nicotine Delivery Device or Vaporizer such as JUUL: Yes"
heshs_c_2a___2,2a. Does anyone who lives in the child's home or dwelling smoke any other products inside? What products? [Mark all that apply]: Cigars,"Cigars: No, Cigars: Yes","2a. Does anyone who lives in the child's home or dwelling smoke any other products inside? What products? [Mark all that apply]: Cigars: Cigars: No, Cigars: Yes"
heshs_c_2a___3,2a. Does anyone who lives in the child's home or dwelling smoke any other products inside? What products? [Mark all that apply]: Pipes,"Pipes: No, Pipes: Yes","2a. Does anyone who lives in the child's home or dwelling smoke any other products inside? What products? [Mark all that apply]: Pipes: Pipes: No, Pipes: Yes"
heshs_c_2a___4,2a. Does anyone who lives in the child's home or dwelling smoke any other products inside? What products? [Mark all that apply]: Marijuana/Hashish,"Marijuana/Hashish: No, Marijuana/Hashish: Yes","2a. Does anyone who lives in the child's home or dwelling smoke any other products inside? What products? [Mark all that apply]: Marijuana/Hashish: Marijuana/Hashish: No, Marijuana/Hashish: Yes"
heshs_c_2a___5,2a. Does anyone who lives in the child's home or dwelling smoke any other products inside? What products? [Mark all that apply]: Other [Specify],"Other [Specify]: No, Other [Specify]: Yes","2a. Does anyone who lives in the child's home or dwelling smoke any other products inside? What products? [Mark all that apply]: Other [Specify]: Other [Specify]: No, Other [Specify]: Yes"
heshs_c_2a____7,2a. Does anyone who lives in the child's home or dwelling smoke any other products inside? What products? [Mark all that apply]: Declined,"Declined: No, Declined: Yes","2a. Does anyone who lives in the child's home or dwelling smoke any other products inside? What products? [Mark all that apply]: Declined: Declined: No, Declined: Yes"
heshs_c_2a____8,2a. Does anyone who lives in the child's home or dwelling smoke any other products inside? What products? [Mark all that apply]: Don't know,"Don't know: No, Don't know: Yes","2a. Does anyone who lives in the child's home or dwelling smoke any other products inside? What products? [Mark all that apply]: Don't know: Don't know: No, Don't know: Yes"
heshs_c_2a_calc,Calculated field for determining number of smoking products,,Calculated field for determining number of smoking products: 
xheshs_c_2a_sp,"2a. Does anyone who lives in the child's home or dwelling smoke any other products inside? What products, Other, specify (de-identified)",,"2a. Does anyone who lives in the child's home or dwelling smoke any other products inside? What products, Other, specify (de-identified): "
heshs_c,"2.b. If you marked more than one in 2.a, which of these products is smoked inside most often? [Mark only one]","E-cigarettes or Electronic Nicotine Delivery Device or Vaporizer such as JUUL, Cigars, Pipes, Marijuana/Hashish, Other [Specify], Not applicable, Declined, Don't know, Missing","2.b. If you marked more than one in 2.a, which of these products is smoked inside most often? [Mark only one]: E-cigarettes or Electronic Nicotine Delivery Device or Vaporizer such as JUUL, Cigars, Pipes, Marijuana/Hashish, Other [Specify], Not applicable, Declined, Don't know, Missing"
xheshs_c_2b_sp,"2.b. If you marked more than one in 2.a, which of these products is smoked inside most often? Other, specify (de-identified)",,"2.b. If you marked more than one in 2.a, which of these products is smoked inside most often? Other, specify (de-identified): "
heshs_c_2c_perday,"2c. For the product smoked inside most, how often is it smoked? Times per day",,"2c. For the product smoked inside most, how often is it smoked? Times per day: "
heshs_c_2c_perwk,"2c. For the product smoked inside most, how often is it smoked? Times per week",,"2c. For the product smoked inside most, how often is it smoked? Times per week: "
heshs_c_2c_permnth,"2c. For the product smoked inside most, how often is it smoked? Times per month",,"2c. For the product smoked inside most, how often is it smoked? Times per month: "
heshs_c_2c_less,"2c. For the product smoked inside most, how often is it smoked? Less than once per month, Declined, Don't know","Less than once per month, Not applicable, Declined, Don't know, Missing","2c. For the product smoked inside most, how often is it smoked? Less than once per month, Declined, Don't know: Less than once per month, Not applicable, Declined, Don't know, Missing"
heshs_c_2d,"2.d. If you marked more than one in 2.a, which of these products is smoked inside second most often? [Mark only one]","E-cigarettes or Electronic Nicotine Delivery Device or Vaporizer such as JUUL, Cigars, Pipes, Marijuana/Hashish, Other [Specify], Not applicable, Declined, Don't know, Missing","2.d. If you marked more than one in 2.a, which of these products is smoked inside second most often? [Mark only one]: E-cigarettes or Electronic Nicotine Delivery Device or Vaporizer such as JUUL, Cigars, Pipes, Marijuana/Hashish, Other [Specify], Not applicable, Declined, Don't know, Missing"
xheshs_c_2d_sp,"2d. If you marked more than one in 2.a, which of these products is smoked inside second most often? Other, specify (de-identified)",,"2d. If you marked more than one in 2.a, which of these products is smoked inside second most often? Other, specify (de-identified): "
heshs_c_2e_perday,"2e. For the product smoked inside second most, how often is it smoked? Times per day",,"2e. For the product smoked inside second most, how often is it smoked? Times per day: "
heshs_c_2e_perwk,"2e. For the product smoked inside second most, how often is it smoked? Times per week",,"2e. For the product smoked inside second most, how often is it smoked? Times per week: "
heshs_c_2e_permnth,"2e. For the product smoked inside second most, how often is it smoked? Times per month",,"2e. For the product smoked inside second most, how often is it smoked? Times per month: "
heshs_c_2e_less,"2e. For the product smoked inside second most, how often is it smoked? Less than once per month, Declined, Don't know","Less than once per month, Not applicable, Declined, Don't know, Missing","2e. For the product smoked inside second most, how often is it smoked? Less than once per month, Declined, Don't know: Less than once per month, Not applicable, Declined, Don't know, Missing"
ifp_a01,"1. In the past 7 days, how many times was the child usually fed in a 24-hour period? Please include breast feedings, bottles, meals, snacks, and night-time feedings.","1 to 2, 3 to 4, 5 to 6, 7 to 8, More than 8, Not applicable, Declined, Don't know, Missing","1. In the past 7 days, how many times was the child usually fed in a 24-hour period? Please include breast feedings, bottles, meals, snacks, and night-time feedings.: 1 to 2, 3 to 4, 5 to 6, 7 to 8, More than 8, Not applicable, Declined, Don't know, Missing"
ifp_a02,"2. In the past 7 days, has the child used a pacifier?","Yes, No, Not applicable, Declined, Don't know, Missing","2. In the past 7 days, has the child used a pacifier?: Yes, No, Not applicable, Declined, Don't know, Missing"
ifp_a03___1,"3. In the past 2 weeks, which of the following was the child given in vitamin or mineral drops or pills at least 3 days a week? If the child was given drops or pills that contained more than one of the items listed, please mark each of the separate items. [Check all that apply]: Fluoride","Fluoride: No, Fluoride: Yes","3. In the past 2 weeks, which of the following was the child given in vitamin or mineral drops or pills at least 3 days a week? If the child was given drops or pills that contained more than one of the items listed, please mark each of the separate items. [Check all that apply]: Fluoride: Fluoride: No, Fluoride: Yes"
ifp_a03___2,"3. In the past 2 weeks, which of the following was the child given in vitamin or mineral drops or pills at least 3 days a week? If the child was given drops or pills that contained more than one of the items listed, please mark each of the separate items. [Check all that apply]: Iron","Iron: No, Iron: Yes","3. In the past 2 weeks, which of the following was the child given in vitamin or mineral drops or pills at least 3 days a week? If the child was given drops or pills that contained more than one of the items listed, please mark each of the separate items. [Check all that apply]: Iron: Iron: No, Iron: Yes"
ifp_a03___3,"3. In the past 2 weeks, which of the following was the child given in vitamin or mineral drops or pills at least 3 days a week? If the child was given drops or pills that contained more than one of the items listed, please mark each of the separate items. [Check all that apply]: Vitamin D","Vitamin D: No, Vitamin D: Yes","3. In the past 2 weeks, which of the following was the child given in vitamin or mineral drops or pills at least 3 days a week? If the child was given drops or pills that contained more than one of the items listed, please mark each of the separate items. [Check all that apply]: Vitamin D: Vitamin D: No, Vitamin D: Yes"
