ECHO Variable,ECHO Variable Description,UKMCS Variable,UKMCS Variable Description,Similarity Score
1. Does the child live with anyone who smokes cigarettes?,"1. Does the child live with anyone who smokes cigarettes?: Yes, No, Not applicable, Declined, Don't know, Missing",Whether anyone smokes in the same room as CM,Whether anyone smokes in the same room as CM: -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Yes,0.8658517156763151
1.a. Are cigarettes smoked inside the child's home or dwelling?,"1.a. Are cigarettes smoked inside the child's home or dwelling?: Yes, No, Not applicable, Declined, Don't know, Missing",Whether anyone smokes in the same room as CM,Whether anyone smokes in the same room as CM: -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Yes,0.8617017040581121
"1b. How often, on average, are cigarettes smoked inside the child's home or dwelling? Cigarettes per day","1b. How often, on average, are cigarettes smoked inside the child's home or dwelling? Cigarettes per day: ",Frequency of pipe smoking   ,Frequency of pipe smoking   : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Every day; 2.0 = 5-6 times per week; 3.0 = 3-4 times per week; 4.0 = 1-2 times per week; 5.0 = 1-2 times per month,0.8646949654146737
"1b. How often, on average, are cigarettes smoked inside the child's home or dwelling? Cigarettes per week","1b. How often, on average, are cigarettes smoked inside the child's home or dwelling? Cigarettes per week: ",Frequency of pipe smoking   ,Frequency of pipe smoking   : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Every day; 2.0 = 5-6 times per week; 3.0 = 3-4 times per week; 4.0 = 1-2 times per week; 5.0 = 1-2 times per month,0.8661449357397242
"1b. How often, on average, are cigarettes smoked inside the child's home or dwelling? Cigarettes per month","1b. How often, on average, are cigarettes smoked inside the child's home or dwelling? Cigarettes per month: ",Frequency of pipe smoking   ,Frequency of pipe smoking   : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Every day; 2.0 = 5-6 times per week; 3.0 = 3-4 times per week; 4.0 = 1-2 times per week; 5.0 = 1-2 times per month,0.8618063475027529
"1b. How often, on average, are cigarettes smoked inside the child's home or dwelling? Less than once per month, Declined, Don't know","1b. How often, on average, are cigarettes smoked inside the child's home or dwelling? Less than once per month, Declined, Don't know: Less than once per month, Not applicable, Declined, Don't know, Missing",Frequency of pipe smoking   ,Frequency of pipe smoking   : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Every day; 2.0 = 5-6 times per week; 3.0 = 3-4 times per week; 4.0 = 1-2 times per week; 5.0 = 1-2 times per month,0.8793503614466691
2. Does anyone who lives in the child's home or dwelling smoke any other products inside?,"2. Does anyone who lives in the child's home or dwelling smoke any other products inside?: Yes, No, Not applicable, Declined, Don't know, Missing",Whether anyone smokes in the same room as CM,Whether anyone smokes in the same room as CM: -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Yes,0.8608195416522173
2a. Does anyone who lives in the child's home or dwelling smoke any other products inside? What products? [Mark all that apply]: E-cigarettes or Electronic Nicotine Delivery Device or Vaporizer such as JUUL,"2a. Does anyone who lives in the child's home or dwelling smoke any other products inside? What products? [Mark all that apply]: E-cigarettes or Electronic Nicotine Delivery Device or Vaporizer such as JUUL: E-cigarettes or Electronic Nicotine Delivery Device or Vaporizer such as JUUL: No, E-cigarettes or Electronic Nicotine Delivery Device or Vaporizer such as JUUL: Yes",Whether anyone smokes in the same room as CM,Whether anyone smokes in the same room as CM: -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Yes,0.8207320937272936
2a. Does anyone who lives in the child's home or dwelling smoke any other products inside? What products? [Mark all that apply]: Cigars,"2a. Does anyone who lives in the child's home or dwelling smoke any other products inside? What products? [Mark all that apply]: Cigars: Cigars: No, Cigars: Yes",Whether anyone smokes in the same room as CM,Whether anyone smokes in the same room as CM: -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Yes,0.8352704271796022
2a. Does anyone who lives in the child's home or dwelling smoke any other products inside? What products? [Mark all that apply]: Pipes,"2a. Does anyone who lives in the child's home or dwelling smoke any other products inside? What products? [Mark all that apply]: Pipes: Pipes: No, Pipes: Yes",Whether anyone smokes in the same room as CM,Whether anyone smokes in the same room as CM: -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Yes,0.8334335465215842
