ukmcs_variable_name,ukmcs_variable_label,mcs_variables_value_labels,combined_labels
ACMCBCODE_00,Mother's country of birth (ISO 3166) : Two letter country code  ,,Mother's country of birth (ISO 3166) : Two letter country code  : 
ACMCBCODE_11,Mother's country of birth (ISO 3166) : Three letter country code,,Mother's country of birth (ISO 3166) : Three letter country code: 
ACFCBCODE_00,Father's country of birth : Two letter country code ,,Father's country of birth : Two letter country code : 
ACFCBCODE_11,Father's country of birth : Three letter country code   ,,Father's country of birth : Three letter country code   : 
ACNOBA00,Number of CMs in household  ,1.0 = One baby; 2.0 = Twins; 3.0 = Triplets; -9.0 = Refusal; -8.0 = Don't Know,Number of CMs in household  : 1.0 = One baby; 2.0 = Twins; 3.0 = Triplets; -9.0 = Refusal; -8.0 = Don't Know
ADCEEA00_R30,DV Cohort Member Ethnic Group merged (England)   [counts less than 30 recoded],1.0 = White - British; 2.0 = White - Irish; 3.0 = Any other White background; 4.0 = Mixed - White and Black Caribbean; 5.0 = Mixed - White and Black African; 6.0 = Mixed - White and Asian; 7.0 = Any other mixed background; 8.0 = Asian/Asian British - Indian; 9.0 = Asian/Asian British - Pakistani; 10.0 = Asian/Asian British - Bangladeshi; 11.0 = Any other Asian background; 12.0 = Black/Black British - Caribbean; 13.0 = Black/Black British - African; 14.0 = Any other Black background; 15.0 = Chinese; 95.0 = Any other background; 100.0 = Recoded due to low counts - check SA; -9.0 = Refusal; -8.0 = Don't Know,DV Cohort Member Ethnic Group merged (England)   [counts less than 30 recoded]: 1.0 = White - British; 2.0 = White - Irish; 3.0 = Any other White background; 4.0 = Mixed - White and Black Caribbean; 5.0 = Mixed - White and Black African; 6.0 = Mixed - White and Asian; 7.0 = Any other mixed background; 8.0 = Asian/Asian British - Indian; 9.0 = Asian/Asian British - Pakistani; 10.0 = Asian/Asian British - Bangladeshi; 11.0 = Any other Asian background; 12.0 = Black/Black British - Caribbean; 13.0 = Black/Black British - African; 14.0 = Any other Black background; 15.0 = Chinese; 95.0 = Any other background; 100.0 = Recoded due to low counts - check SA; -9.0 = Refusal; -8.0 = Don't Know
ADCEWA00_R30,DV Cohort Member Ethnic Group (merged) (Wales)   [counts less than 30 recoded],1.0 = White - Welsh; 2.0 = White - other British; 3.0 = White - Irish; 4.0 = Any other White background; 5.0 = Mixed - White and Black Caribbean; 6.0 = Mixed - White and Black African; 7.0 = Mixed - White and Asian; 8.0 = Any other mixed background; 9.0 = Asian/Asian British - Indian; 10.0 = Asian/Asian British - Pakistani; 11.0 = Asian/Asian British - Bangladeshi; 12.0 = Any other Asian background; 13.0 = Black/Black British - Caribbean; 14.0 = Black/Black British - African; 15.0 = Any other Black background; 16.0 = Chinese; 95.0 = Any other background; 100.0 = Recoded due to low counts - check SA; -9.0 = Refusal; -8.0 = Don't Know,DV Cohort Member Ethnic Group (merged) (Wales)   [counts less than 30 recoded]: 1.0 = White - Welsh; 2.0 = White - other British; 3.0 = White - Irish; 4.0 = Any other White background; 5.0 = Mixed - White and Black Caribbean; 6.0 = Mixed - White and Black African; 7.0 = Mixed - White and Asian; 8.0 = Any other mixed background; 9.0 = Asian/Asian British - Indian; 10.0 = Asian/Asian British - Pakistani; 11.0 = Asian/Asian British - Bangladeshi; 12.0 = Any other Asian background; 13.0 = Black/Black British - Caribbean; 14.0 = Black/Black British - African; 15.0 = Any other Black background; 16.0 = Chinese; 95.0 = Any other background; 100.0 = Recoded due to low counts - check SA; -9.0 = Refusal; -8.0 = Don't Know
ADCESA00_R30,DV Cohort Member Ethnic Group (merged) (Scotland)    [counts less than 30 recoded],1.0 = White - Scottish; 2.0 = White - other British; 3.0 = White - Irish; 4.0 = Any other White background; 5.0 = Any mixed background; 6.0 = Asian/Asian Scottish - Indian; 7.0 = Asian/Asian Scottish - Pakistani; 8.0 = Asian/Asian Scottish - Bangladeshi; 9.0 = Asian/Asian Scottish - Chinese; 10.0 = Any other Asian background; 11.0 = Black/Black Scottish - Caribbean; 12.0 = Black/Black Scottish - African; 13.0 = Any other Black background; 95.0 = Any other background; 100.0 = Recoded due to low counts - check SA; -9.0 = Refusal; -8.0 = Don't Know,DV Cohort Member Ethnic Group (merged) (Scotland)    [counts less than 30 recoded]: 1.0 = White - Scottish; 2.0 = White - other British; 3.0 = White - Irish; 4.0 = Any other White background; 5.0 = Any mixed background; 6.0 = Asian/Asian Scottish - Indian; 7.0 = Asian/Asian Scottish - Pakistani; 8.0 = Asian/Asian Scottish - Bangladeshi; 9.0 = Asian/Asian Scottish - Chinese; 10.0 = Any other Asian background; 11.0 = Black/Black Scottish - Caribbean; 12.0 = Black/Black Scottish - African; 13.0 = Any other Black background; 95.0 = Any other background; 100.0 = Recoded due to low counts - check SA; -9.0 = Refusal; -8.0 = Don't Know
ADCENA00_R30,DV Cohort Member Ethnic Group (merged) (N Ireland)   [counts less than 30 recoded],1.0 = White; 2.0 = Chinese; 3.0 = Irish Traveller; 4.0 = Indian; 5.0 = Pakistani; 6.0 = Bangladeshi; 7.0 = Black Caribbean; 8.0 = Black African; 9.0 = Black Other; 10.0 = Mixed ethnic group; -9.0 = Refusal; -8.0 = Don't Know; 100.0 = Recoded due to low counts - check SA; -1.0 = Not applicable,DV Cohort Member Ethnic Group (merged) (N Ireland)   [counts less than 30 recoded]: 1.0 = White; 2.0 = Chinese; 3.0 = Irish Traveller; 4.0 = Indian; 5.0 = Pakistani; 6.0 = Bangladeshi; 7.0 = Black Caribbean; 8.0 = Black African; 9.0 = Black Other; 10.0 = Mixed ethnic group; -9.0 = Refusal; -8.0 = Don't Know; 100.0 = Recoded due to low counts - check SA; -1.0 = Not applicable
ADC06E00,DV Cohort Member Ethnic Group - 6 category Census class ,"1.0 = White; 2.0 = Mixed; 3.0 = Indian; 4.0 = Pakistani and Bangladeshi; 5.0 = Black or Black British; 6.0 = Other Ethnic group (inc Chinese,Other); -9.0 = Refusal; -8.0 = Don't Know","DV Cohort Member Ethnic Group - 6 category Census class : 1.0 = White; 2.0 = Mixed; 3.0 = Indian; 4.0 = Pakistani and Bangladeshi; 5.0 = Black or Black British; 6.0 = Other Ethnic group (inc Chinese,Other); -9.0 = Refusal; -8.0 = Don't Know"
